941484314516213760,read,9
941476900362338304,read,9
941481659026804736,read,9
941476900362338304,read,9
941480832329551872,thriller,9
941480816261193729,read,9
941476900362338304,read,9
941480756496486402,read,9
941476900362338304,read,9
941480618583625729,read,9
941476900362338304,read,9
941478375780245504,read,9
941476900362338304,read,9
941477767450976256,horror,9
941477767450976256,99Cents,9
941477767450976256,BookWorm,9
941477767450976256,Goodreads,9
941477767450976256,IARTG,9
941477767450976256,Ian1,9
941477767450976256,ASMSG,9
922889717942800391,horror,0
922889717942800391,99Cents,0
922889717942800391,BookWorm,0
922889717942800391,Goodreads,0
922889717942800391,IARTG,0
922889717942800391,Ian1,0
922889717942800391,ASMSG,0
922889717942800391,BookBoost,0
922889717942800391,Kindle,0
941477513657749504,Babies,9
941477513657749504,solids,9
941280724463898624,Babies,5
941280724463898624,solids,5
941477332619063298,read,9
941476900362338304,read,9
941476986316378112,Books,9
941476986316378112,ShortStories,9
941476986316378112,Fiction,9
941466094799347712,Books,9
941466094799347712,ShortStories,9
941466094799347712,Fiction,9
941476900362338304,read,9
941476539589201921,3DS,9
941473985627344896,bbc,9
941473985627344896,1xtra,9
941473985627344896,np,9
941473981248495616,bbc,9
941473981248495616,radio1,9
941473981248495616,np,9
941473698694955008,CharlesDickens,9
940637431526813698,CharlesDickens,0
941473644617895936,CharlesDickens,9
940637431526813698,CharlesDickens,0
941473008434028544,kindle,9
941470674060808194,CharlesDickens,9
940637431526813698,CharlesDickens,0
941469377341169666,Babies,9
941469377341169666,solids,9
941280724463898624,Babies,5
941280724463898624,solids,5
941468675848126464,Babies,9
941468675848126464,solids,9
941280724463898624,Babies,5
941280724463898624,solids,5
941466094799347712,Books,9
941466094799347712,ShortStories,9
941466094799347712,Fiction,9
941462833052631040,FREE,9
941432852654186497,FREE,8
941461417198346241,amazon,9
941460000446304257,Retwittear,9
941459174805966850,IARGT,9
941458380937420800,IARGT,9
941458380937420800,BOOKBOOST,9
941458380937420800,IARGT,9
