Id,Text
918877475270094848,@feriferj39 ya andas contaminado mis playas
918877550989885440,Oh.....my.....god.... 😍😍😍😍😍 https://t.co/jRYGBK0hg
918877443141914624,@ESPNNBA E. https://t.co/h7cPA4pkqt
918877470329249792,@LeadNV_EDU leaders discuss the challenges and opp
918877490814373888,@MichaelSpathITH I would love to hear an argument 
918877407213424640,🤣😂🤣😂 #RealSinBiti @ Cape Fear Valley Health https:
918225623805513728,two weeks ago vs yesterday HOW THE FUCK https://t.
918877496019505152,@taridiium @Boneitis According to the OP she tried
918876848104157184,GM https://t.co/IS20G3NJMf
918858870893744128,Go get @gucci1017 new drip 🔥 https://t.co/OxanoOH5
918877496824750082,Personally, I’m hype cause I’m only coming outta p
918877495692161024,We're #hiring! Click to apply: Porter (Janitorial)
918877486464643074,Examining Ezekiel Elliott case w/ @SportsLawGuy no
918877563249762304,This is a #corner in our bedroom that I love.  #my
918877548133605376,@CuffyMeh haha, that's what I was thinking yesterd
918877406219268096,I’m waiting..😊 https://t.co/STwInIrTUn
918877533403336704,@chaz_hirschman came thru surgery like a boss. Tha
918877472472666112,Saat kaçta ? https://t.co/FmDNYCl8zU
918179926917906432,President Trump: "It's frankly disgusting the way 
918877498858983424,Lmao oh this is war https://t.co/YHILrac7WL
918877493792210944,@DulcaTom Hola, Dulce.No te preocupes, al momento
918877524351909888,LOL literally LOL! Wade wouldn’t have signed to th
918715295027552256,1- Morning all, I'm on the ground in Kirkuk to rep
918877436305199105,Last minute registration and set up is underway fo
918877449345056768,#Hoy CUAUHTEMOC ENTRADA DE LA MÚSICA (8-X-17) FEST
918877524452458497,We don’t deserve him https://t.co/T8Syuqy3hc
917928247823880193,Si la cancion del mundial no la cantan las T.a.t.u
918877453002489856,"Young turkey bacon panini" sounds about as good a
918877413777567744,It’s homecoming week dawg #KetchupMustards https:/
918877533864542209,Interested in a #job in #Houston, TX? This could b
918877429023813634,@kjs_27 @cassmphillips @bayleebennettt https://t.c
918619273756635136,Why G Herbo girl so abusive 💀?? https://t.co/qaoVY
918877415174053888,Inncoury.""Want THE OFFICL TESTIMOINY https://t.
918877456689434624,💯 https://t.co/2U1fbaTQN0
918873049931403264,I think Doug needs to find a way to get Agholor at
918877411361648640,@ohbabiiitscat @LoyaltyIsLifeQ Oh my 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍
918877402607972352,Can you recommend anyone for this #job in #NewYork
918877497554558977,.@qz. Lib arrogance de-fracked.Will they ever s
918877473114284032,@maddow P.T. Barnum never had it so good. 😒
918877493431492608,See our latest #Pawtucket, RI #job and click to ap
918830442245251072,@Not2bRude_But he doin all this talking but just l
918877455703781376,#BREAKING @Cubs plane diverted while enroute to Lo
918237252890787841,Happy 5th birthday to the worlds cutest little gir
918877553020063745,@SeminoleDining I see a @TBLightning shirt!!
918869279591636992,I'm ready to go fuck up Kennedys kitchen 😂
918877423973761024,Want to work in #Clovis, NM? View our latest openi
918877559680569344,Congratulations to @aureliansprings https://t.co/O
918877441459757056,We're #hiring! Read about our latest #job opening 
918877465270829057,Parte del trabajo que hacemos en el Archivo Histór
822604401395269633,"92 bricks?! Boi, id a had to kill ya" https://t.c
918865371104284672,https://t.co/S210Y5dY0b
918877498162778113,House for #rent in Chaparral, SE, 4 bedrooms - $$2
918877475593170944,Lmao https://t.co/Un3fh55FfX
918876134951084035,@amaniaIex hunni!!! have fun, I hope you meet her 
918585348313305090,What did the Real Slim Shady do to play with the b
918875489628016640,@SafeCityMiss @PRPyouthed @MoralCompass50 @PHCHF @
918877479770529792,Can you recommend anyone for this #job? Server - h
918686104617914368,@seanhannity Sean, is this true, are the whereabou
918877019760418816,Señal de Sprint completa en Arecibo, estoy sin pod
918877521936027648,@TCHeadCheese Since I cannot be at the Friday foot
918877535940771842,Whoa! Did they change the green @Skittles tastes b
918872462615511040,Wait.....Zeke 4th in the league in rushing ? Lmaoo
918877501828370432,I was just thinking this 😂 https://t.co/XLvlesLtUn
918877530245025792,DEMs just can’t catch a break. They need to regrou
918877469519859712,amen https://t.co/mfbP34hUNk
918868957360095233,Trump said he met with the President of the Virgin
918633438919368704,フンボルトペンギンのグレープ君が昨日亡くなりました。これまで応援してくれた皆様本当にありがとうござ
918877563409154048,Now, I like these. **look for bae some** https://t
918877406718345216,@boglethemind @Sheeple101 @nicolasDenver @DanaEliz
918877441917042688,We're #hiring! Read about our latest #job opening 
918877521680257024,I'm crine 💀💀💀💀 https://t.co/M6OqUejyx4
918877429678137344,Why does my dad dance exactly like this https://t.
918877502172364800,Nominado al peor beso https://t.co/vhtI32rWXl
918877516378591237,I'm at AAA - Automobile Club of Southern Californi
918877548783853573,Loved our convo with @GaryBelsky last night about 
918877561379176448,None on hand I had to restock hair will be in Mond
918877504869318656,@AbbieMachel it's been a minute, and then last nig
918877554131419137,@thebradfordfile One thing the fool needs "To make
