Id,Text
918877561379176448,None on hand I had to restock hair will be in Monday https://t.co/qbQTJmv2Q9
918877504869318656,@AbbieMachel it's been a minute  and then last night happened and i thought it was my last night of life
918877540801970177,#fancywaterfriday Apple  cinnamon  &amp; ginger! Thanks Kathy! @KristaCHolland1 @AndersonElem @HealthierGen… https://t.co/kuYJqubhT2
918877558262788096,damn @WakaFlocka was in my old city n i ain't even get to smoke with him 🙄😭😪💔
918565814508322817,let’s settle down and get a place together ❤️. https://t.co/IBBZZ1BhhT
918877463706591233,Teacher leader Ms. Lind leads learning about literature circles in the Humanities Team Meeting #ImCPS… https://t.co/wTOAMFfsJE
918823671568855040,It's here. #StrangerThings https://t.co/HeEs3JHxGQ
918872649471807488,PSA: Please stop sending unsolicited nudes. Thank you for your cooperation.
918877441048788992,Can you recommend anyone for this #job? Salesperson - https://t.co/A0yvsdAoNk #Automotive #SaukVillage  IL #Hiring #CareerArc
918877433276727297,@coffeefestshow we’re so happy to be here! Booth 930-931: come see us!! @ Oregon Convention Center https://t.co/1bXqWYE5Cq
918877424368025600,i don’t like chick-fil-a waffle fries https://t.co/8UyYvnbvYF
918877547252846593,Watch #ParentsBestToys on @TODAYshow https://t.co/Roxe3DNkBe
918872312027348992,@dezafag happy birthday beautiful ❤️ have a wonderful day 😘
918877416910618625,I’m fed up LMAOOOO https://t.co/wlRj0sg4H5
918366778539102208,Donald Trump told Hannity tonight that because the stock market went up  the national debt no longer exists. This h… https://t.co/knAEkRnQNj
918877218553651200,Dr. Chuckles  @chuckles152 is now trending in #Philadelphia  https://t.co/jDd42qIvj1 https://t.co/Wy2Hm1NSdT
918843558513270784,Great  I hope he cuts Congress's subsidies  too! NYT: Trump to Scrap Health Care Subsidies  Hitting Obamacare Again- https://t.co/v4JUC3TyRM
918877535668117504,This #job might be a great fit for you: shift supervisor - Store# 25586  HIGHWAY 180 &amp; GOLDENROD  KERMA - https://t.co/gOfpdY6nsd #Hiring
918877531259813889,UGH! I wish I were in New York rn to March with my community tomorrow! #voices4Chechyna raise hell babes! https://t.co/Wvc4LKygYp
918877346605813761,Vibes next week 🗣🗣 https://t.co/w4lg8G9wla
918876347132293120,Can't wait for the summit between Trump's President of the Virgin Islands &amp; Rick Perry's President of Puerto Rico.
918877471667257344,#waterislife ...we luv the never ending fresh drinking water.. https://t.co/CuuzzSVNiG
918815308755828736,All I do is work
