Id,Text
918877410442887170,PLEASE SIGN THIS https://t.co/82w1cUdq2I
918877414339612672,@BenAffleck does NOT need to step down as the #Batman . Still seeing the @justiceleaguewb   so screw you.
917837295625162753,@MrPMGlaser 🌟SPECIAL DINNER 🍽EVENT🌟 #ARTIST PAUL MICHAEL GLASER #COMINGSOON  #NewEngland #LIMITEDSEATING… https://t.co/c7aHtgX4VM
918877415757135872,If you're looking for work in #EastPeoria  IL  check out this #job: https://t.co/FKra9ZmPSq #Retail #Hiring #CareerArc
918865371104284672,https://t.co/S210Y5dY0b
918877396673146880,#SneakPeek of @ANNIKA59 interviewing with Rolex. So thankful for their continued support! @rolexfan #AILA17 https://t.co/N5WX5wrV7M
918863195225210880,Wait for someone to love you with consistently. Stop wasting time on those “say one thing   do another type of peop… https://t.co/u4mEMU7WKC
918877411198070785,@fkabudu @simplysymmie You again 😂😂😂
918877404914962436,NEW &amp; HOT! Available in Le Ciel Blue or French White. https://t.co/qQmqOkeq4O  #HomeDecor #InteriorDesign #Lighting… https://t.co/baeg1Wt7PP
918849460859531267,Trump: “I met with the president of the Virgin Islands.”   Uh. Trump is the president of the Virgin Islands. https://t.co/8w4sa2iR2I
918877412754120704,My homie @breanna_aponte in town &amp; we decided to celebrate her bday at eastendrestaurant it’s… https://t.co/Z0cev53qFF
918877398413619200,Watch it on @ShawTVThompson channel 11 in Thompson https://t.co/FIDk9LXv8r
918877409142697984,Sure would be nice to bring playoff baseball back to Eutaw Street.   . #mlbpostseason #orioles… https://t.co/TselP5ixBk
918877402142597121,I am counting on @RepKevinBrady to protect Texas from Obamacare’s Health Insurance Tax #StoptheHIT https://t.co/K3ZpqZUaM1
918852373652692992,Here is the scumbsg’s name who assaulted that gentleman last night https://t.co/UyfvjW930d
918877411042762752,If you're looking for work in #Stockbridge  GA  check out this #job: https://t.co/oCPqG35XXi #Transportation #Hiring #CareerArc
918686104617914368,@seanhannity Sean  is this true  are the whereabouts of #JesusCampos unknown? Did you speak with him RE: cancellati… https://t.co/Y4jnuzDoig
918877415065010179,Want to work in #LongBeach  CA? View our latest opening: https://t.co/lo44cGIurD #SkilledTrade #Job #Jobs #Hiring
918877398896017409,lmfao https://t.co/AvBUgLMAGf
918877404642279429,Can someone please explain why no #Loon balloons are currently over #PuertoRico🇵🇷  some being as far as the Dominic… https://t.co/ADs3domLVa
918877400095637504,You make a lot of assumptions with me that you know nothing about.  You don't know my story. I was a soldier and de… https://t.co/k5dYiRYesN
918875288406147072,I do understand as I put 5 kids through college and they all had skin in the game. We need to protect the middle cl… https://t.co/Q9o2mFQ2o5
918877407268036611,“WE” hell https://t.co/W3hc0LQ15m
918876674023940098,Watch Shaw at 2pm &amp; 6pm on Sunday  Oct. 15th for live action of the Canad Inns Mens Classic! @howardfour https://t.co/j1xnk0ZM2F
918877399265218561,@IRoc_IRoll @IamAkademiks @KuavoKenny no not really.
918875489628016640,@SafeCityMiss @PRPyouthed @MoralCompass50 @PHCHF @UWindsor Thank you again for a very informative and enjoyable conference. 👍
918877404696780800,Interested in a #job in #Gilford  NH? This could be a great fit: https://t.co/7ZBxuyCDk8 #Retail #Hiring #CareerArc
918605525985759238,@QueenzFlip “I guess we’re doing this again” https://t.co/NrverLtlID
918630579788066816,We made one of the worst people on the planet it's most powerful person.
918877411420274688,@doyleMedown thank you! it looks better in the next couple pics I'm posting  stay tuned boo!
918877411772547072,This #job might be a great fit for you: Class A Delivery Driver - 3 000 sign-on bonus - https://t.co/WBHXkgn6hG #driver #cdl #Jackson  MI
918246288616980480,Females are pimps lol
918877401093881856,Someone must have called her “Fake Woke” https://t.co/kvP4kgHwrB
918877402456981504,All u #antifa assholes are offensive.  Get off my tweeter feed.  #blocked https://t.co/BT0bINFhlr
918877406718345216,@boglethemind @Sheeple101 @nicolasDenver @DanaElizabeth69 @Just4TheCause @badzoot7 @BlueLionBlog @doritmi… https://t.co/rACB7hKjIx
918877404755410945,We're #hiring! Read about our latest #job opening here: Service Representative Night - https://t.co/vDFvlHPp6D #customerservice #CareerArc
918877402607972352,Can you recommend anyone for this #job in #NewYork  NY? https://t.co/lGa7N9jryn #Sales #Hiring #CareerArc
918877413022621701,Really Dad? https://t.co/Tc1MT91pXE
918877407607705602,@BringBackTheBuz The “Alleged” attacker. Someone did some digging. https://t.co/QYQNkYItxG
918877403153358849,@YouKnowTori showed OWT!! Your front WISHED she could!! 😭😂🤗🙃
918877409792937985,@DrewQuigley hbd I remember when u were in 3rd grade ugh they grow up so fast :’) be good tonight!!
918877404621426688,decided to do the #spookathon 👻
918707831896805376,"If ima die out the whip ima make it look sexy"  https://t.co/EnyQepuXzo
918877406219268096,I’m waiting..😊 https://t.co/STwInIrTUn
918877403044335617,THOSE PEOPLE https://t.co/AzudpM6V07
918877414511353858,@mlp_ColeAndCail Y-yeah...
918877404994695170,What did I do to deserve such a blessing 😭@gsgeorgiapeach https://t.co/c3kC28mIro
